,,,広告可否
電話,アートハウジング（株）,03-6907-4025,
電話,ウィルホームズ（株）,03-5961-5556,不可
ITANDI,コロンビア・コミュニティ（株）,,全媒体　可能
ITANDI,サムティプロパティマネジメント（株）,03-6281-9885,全媒体　可能
各社　物確サイト,トーセイ・コミュニティ（株）,03-5439-2063,全媒体　可能
いい生活square,パシフィック・ディベロップメントアンドマネージメント（株）,03-3437-0323,全媒体　可能
ITANDI,パナソニックホームズ不動産（株）　東京第一営業所,050-3101-0670,全媒体　可能
ITANDI,プロパティエージェント（株）,050-3173-8083,全媒体　可能
ITANDI,レジデントファースト（株）　仲介事業部　仲介事業課,0570-03-1161,不可
ITANDI,三井ホームエステート（株）　東京中央支店,03-6316-1403,
,三井不動産リアルティ（株）三井のリアルプラン銀座サロン（賃貸）,050-3032-1226,
ITANDI,三井不動産レジデンシャルリース（株）　受託運営本部　運営一部運営課,0570-783-462,全媒体　可能
ITANDI,三菱地所ハウスネット（株）　首都圏リーシング部,050-3187-7121,全媒体　可能
ITANDI,三菱地所リアルエステートサービス（株）　住宅運営部,03-3510-8030,全媒体　可能
ITANDI,伊藤忠アーバンコミュニティ（株）　本社,0120-570-722,全媒体　可能
ITANDI,信義房屋マネジメント（株）,03-5388-6902,
電話,協永ソフトエンジニアリング（株）,03-3263-6565,
ITANDI,東京建物不動産販売（株）　営業推進部　リーシンググループ,03-6837-7641,全媒体　可能
各社　物確サイト,東急住宅リース（株）　リーシングサポートグループ１,050-3177-4359,全媒体　可能
ITANDI,（株）ＤＲマネージメント,050-3628-1168,全媒体　可能
各社　物確サイト,（株）Ｇｏｏｄリアルエステート,03-6811-2224,全媒体　可能
いい生活square,（株）ＬＥＮＺ　ＤＸ,0422-21-9100,全媒体　可能
ITANDI,（株）Ｍｏｄｅｒｎ　Ｓｔａｎｄａｒｄ,,物件による
電話,（株）ＰＨＯＥＮＩＸ,080-4888-9295,物件による
"ITANDI, 各社　物確サイト",（株）ＲＥＮＯＳＹ　ＡＳＳＥＴ　ＭＡＮＡＧＥＭＥＮＴ,03-5544-8650,物件による
各社　物確サイト,（株）ＴＡＫＵＴＯ　東京オフィス,03-6864-6312,全媒体　可能
ITANDI,（株）アートアベニュー,03-5339-0555,全媒体　可能
ITANDI,（株）アズ・スタット　東京支社,03-3239-4146,全媒体　可能
各社　物確サイト,（株）アンビションＤＸホールディングス,03-6632-3676,全媒体　可能
ITANDI,（株）イチイ　高田馬場店,050-3196-2235,
ITANDI,（株）ウィンズプロモーション,03-5469-1385,全媒体　可能
ITANDI,（株）エイペスト,03-6910-3851,全媒体　可能
各社　物確サイト,（株）グッドライフ,03-6228-6382,
ITANDI,（株）シー・エフ・ネッツ,046-750-0976,物件による
いえらぶBB,（株）シーラ,050-1809-2114,全媒体　可能
各社　物確サイト,（株）ジョイント・プロパティ,03-5418-8204,全媒体　可能
ITANDI,（株）ステージプランナー,,物件による
ITANDI,（株）スミカ・クリエイト,03-5720-1265,全媒体　可能
ITANDI,（株）セゾンリアルティ,03-5219-2241,
,（株）ゼントラスト,03-6228-5070,
ITANDI,（株）タイセイ・ハウジープロパティ,050-1808-0962,
ITANDI,（株）トラストアドバイザーズ,050-1807-9990,AT以外
ITANDI,（株）パワーコンサルティングネットワークス,03-5468-8809,yRsa不可
いい生活square,（株）パワーズアンリミテッド,050-3503-1853,
各社　物確サイト,（株）ファンハウス,080-5052-6088,
ITANDI,髙松エステート（株）　銀座営業所,03-6260-6777,
各社　物確サイト,野村不動産パートナーズ（株）　プロパティマネジメント事業本部,050-3628-2668,全媒体　可能
電話,美月リアルティ（株）,03-3780-7008,
各社　物確サイト,生和コーポレーション（株）　東京本店,03-6811-0451,全媒体　可能
,（株）青山メインランド,03-5281-5321,
ITANDI,（株）明豊プロパティーズ,,
ITANDI,（株）明光トレーディング,03-3440-7205,全媒体　可能
各社　物確サイト,（株）日本財託管理サービス,03-3346-3939,全媒体　可能
ITANDI,（株）大京穴吹不動産　首都圏賃貸営業部リーシング二課,0120-988-860,
各社　物確サイト,（株）リブ・マックス,03-3505-3422,全媒体　可能
電話,（株）リーヴライフトゥエンティーワン　蒲田駅前店,03-5711-7588,物件による
電話,（株）リーヴライフトゥエンティーワン　新橋駅前店,03-3539-4070,物件による
電話,（株）リーヴライフトゥエンティーワン　新宿店,03-5325-4060,物件による
電話,（株）リーヴライフトゥエンティーワン　秋葉原駅前店,03-5833-7250,物件による
電話,（株）リーヴライフトゥエンティーワン　渋谷店,03-5466-6022,物件による
ITANDI,（株）ランドネット,03-3986-3981,
ITANDI,（株）ライフアドバンス,03-6421-0544,不可
